Master Record Number,Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Time Notified,Time Arrived,Investigation Complete?,Photos Taken?,Unique Location Id,State Property Damage?,Traffic Control,NARRATIVE
903293722,ISP BLOOMINGTON 33,2.019E+11,MONROE,BLOOMINGTON,BLOOMINGTON,1/2/2019,9:12 AM,2,0,0,0,0,,WALNUT,ST,,,,WALNUT,14TH,,,,Y,,,,39.175952,-86.53344,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,$5001 TO $10000,LEFT/RIGHT TURN,913,913,Y,N,14THSTWALNUTST,0,LANE CONTROL,"Walnut Street is a straight stretch of roadway that primarily runs north and south through the city of Bloomington, Monroe County, IN. In the area where the crash occurred, Walnut Street is straight with a slight downhill grade.The weather at the time of the crash was clear but cool with a temperature of 39 degrees.V1, a blue 2005 Honda Pilot, was traveling north in the right hand lane of a multi lane one way section of Walnut Street. V1 began to turn into the left hand lane, in order to turn on to 14th Street when V1 struck V2 in the right front and side of V2. V1 came to a controlled stop on the west side of the roadway after the contact was made.V2, a red 2014 Chrysler Town and Country was also traveling north on Walnut Street. V2 was in the left hand lane. As V2 was approaching 14th Street, It was struck in the right side by V1. V2 came to a controlled stop on the west side of the roadway after the contact with V1.D1, Anna C Grimes, said she was traveling north, in the right hand lane, on Walnut Street, when she realized that she needed to turn left on to 14th Street. D1 said she put her left turn signal on and began to turn into the left hand lane when she accidentally struck the side of V2.D2, Tammy L Davis, stated that she was traveling north on Walnut Street in the left hand lane. D2 said that as she was nearing 14th Street, V1 turned into the side of her vehicle. D2 said the impact caused her vehicle to be pushed towards the west side of the roadway but she was able to bring her vehicle to a controlled stop.Both drivers advised that they were uninjured in the crash. Both vehicles sustained damage but were able to be driven from the scene."
903291195,BLOOMINGTON PD,B1900376,MONROE,BLOOMINGTON,BLOOMINGTON,1/3/2019,7:00 PM,1,0,,0,0,,PUBLIC ALLEY AT 919 W KIRKWOOD,ALY,,,,PUBLIC ALLEY AT 919 W KIRKWOOD,KIRKWOOD,,,,Y,,,,39.16657314,-86.53914268,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,UNKNOWN,,DRY,,T-INTERSECTION,STRAIGHT/GRADE,GRAVEL,IMPROPER TURNING,UNDER $1001,,851,855,N,Y,PUBLICALLEYAT919WKIRKWOODALYWKIRKWOODAVE,0,NONE,D1 AND V1 LEFT SCENE WITHOUT PROVIDING ANY INFORMATION TO OWNER OF WALL WHICH IS PRIVATE PROPERTY OF 919 W KIRKWOOD AVENUE.OWNER OF WALL STATED HER WALL WAS DAMAGED BY AN UNKNOWN VEHICLE. PICTURES WERE TAKEN. CRIMINAL CASE WAS DONE. FOLLOW UP NEEDED. END.***SUPPLEMENT 1/29/2019: CRIMINAL CASE MADE INACTIVE. NO VEHICLE INFORMATION DISCOVERED OR INSURANCE INFORMATION. END. ***
903291497,MONROE SD,M19A289,MONROE,PERRY,BLOOMINGTON,1/3/2019,2:25 AM,2,1,0,0,0,5510,S OLD STATE 37,RD,,,,S OLD STATE 37,,,,,N,,,,39.137088,-86.53056,COUNTY ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,227,238,Y,N,SOLDSTATE37RD,0,NONE,V1 WAS BACKING WESTBOUND INTO 5510 S OLD STATE ROAD 37 AND BACKED INTO V2 THAT WAS PARKED FACING EASTBOUND.
903290637,INDIANA UNIV BLOOMINGTON PD,190013,MONROE,BLOOMINGTON,BLOOMINGTON,1/3/2019,3:16 PM,2,0,0,0,0,2620,10TH,ST,,,,10TH,,,,,Y,,,,39.17157317,-86.50173866,UNKNOWN,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,314,329,Y,Y,10THST,0,NONE,"V1 and V2 were both backing out at the same time prior to the crash.D1 said he was backing out of his parking space to leave the parking lot in V1. D1 said as he was backing V1 out, V2 was backing out at the same time where V1 and V2 collided. V1 had minor damage to rear driver side bumper.D2 said he was backing out of his parking space to leave the parking lot in V2. D2 said as he was backing V2 out, V1 was backing out at the same time where V1 and V2 collided. V2 had damage to the front passenger side quarter panel.Both parties said the same statement when speaking to them regarding on how the crash occurred."
903290699,BLOOMINGTON PD,B190034,MONROE,BLOOMINGTON,BLOOMINGTON,1/3/2019,1:00 PM,2,0,0,0,0,,WYNDA,CT,,,,E WYNDA,ATLEE,,,,Y,,,,39.14663,-86.493145,,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,255,310,Y,N,EWYNDACTSATLEEST,0,NONE,THE OWNER OF VEHICLE 2 WAS NOTIFIED BY A WITNESS THAT A SILVER COLORED VEHICLE WAS ATTEMPTING TO TURN AROUND AND BACKED INTO VEHICLE 2. VEHICLE 2 HAD VISIBLE DAMAGE TO THE DRIVER SIDE OF THE REAR FAIRING ON THE VEHICLE. DAMAGE TO VEHICLE 1 IS UNKNOWN. THE WITNESS WAS UNABLE TO GET A LICENSE PLATE OR DESCRIPTION OF THE DRIVER OF VEHICLE 1. THE DRIVER OF VEHICLE 1 THEN LEFT THE SCENE WITHOUT ATTEMPTING TO PROVIDE HER INFORMATION.
903291206,MONROE SD,M19A306,MONROE,VAN BUREN,BLOOMINGTON,1/3/2019,5:53 PM,2,0,0,0,0,3585,STATE 45,RD,,,,W STATE 45,,,,,N,,,,39.14186,-86.57992,UNKNOWN,,N,N,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,LEFT TURN,555,604,Y,N,WSTATE45RD,0,STOP SIGN,"V1 was stopped at a stop sign facing east in the Walmart parking lot attempting to make a left hand turn. V2 was traveling northbound through the Walmart parking lot and had the right of way with no stop sign. D1 stated that he did not see V2 and turned in front of it, crashing the front passenger side of V1 into the drivers door of V2. Neither vehicle sustained disabling damage."
903303014,ELLETTSVILLE PD,E1900065,MONROE,RICHLAND,ELLETTSVILLE,1/3/2019,4:40 PM,1,0,0,0,0,,TECUMSEH,DR,,,,TECUMSEH,DEER,,,,Y,OTHER,,,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,CELL PHONE USAGE,$2501 TO $5000,RAN OFF ROAD,442,450,Y,Y,DEERRUNTECUMSEHDR,0,NONE,"Driver of vehicle on traveling west on Deer Run stated he was texting on his cell phone and lost control of his vehicle. Driver of vehicle one left the roadway, stuck a street sign, then drove into a pond. Driver of vehicle was was arrested for operating while intoxicated endangerment IC 9-30-5-2, and operating while intoxicated BAC at least .15, IC 9-30-5-1."
903290618,INDIANA UNIV BLOOMINGTON PD,190011,MONROE,BLOOMINGTON,BLOOMINGTON,1/3/2019,2:13 PM,2,0,0,0,0,,HAWTHORNE,LN,,,,HAWTHORNE,THIRD,,,,Y,,,,39.164255,-86.51989,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,$1001 TO $2500,SAME DIRECTION SIDESWIPE,213,220,Y,N,HAWTHORNELNTHIRDST,0,TRAFFIC CONTROL SIGNAL,"D2 provided D1 with a valid phone number after crash occurred. D1 said he called D2 while still on scene and was provided the right contact information. D1 said after speaking to D2, D2 left the scene. I made contact with D2 who came back to the scene so a report could be made. V1 was traveling westbound on E. 3rd Street approaching the light at Hawthorne and was in the far right hand lane. V2 was traveling westbound on E. 3rd Street in the left hand lane. V1 merged over from the right hand lane to the left hand lane prior to the crash occurring. D1 said he was traveling westbound on E. 3rd Street in V1 and was in the far right hand lane between Faculty and Hawthorne. D1 said he turned his signal on, and went to merge lanes from the right lane to the left lane when V2 came speeding up E. 3rd Street also westbound in the left lane. V1 struck V2. Vehicle 1 had damage to the front driver side fender and quarter panel area. D1 thought V2 was traveling possibly 40mph.D2 said he was traveling westbound on E. 3rd Street in V2 and was in the left hand lane. D2 said he saw the light turn from red to green at E. 3rd Street and Hawthorne, and was continuing westbound. D2 said as he was approaching, he saw V2 turn signal come on and change lanes from the right lane to the left hand lane appearing to turn onto Hawthorne from E. 3rd Street to go southbound. D2 said V1 struck V2. V2 had damage on the passenger side door. Driver 2 advised when asked for vehicle insurance called Progressive to get his policy number. Progressive advised his payment for renewal had not gone through at the time when he made it previously. D2 while on scene and speaking with Progressive was able to get a policy number and provide information prior to leaving the scene. No injuries occurred."
903290801,INDIANA UNIV BLOOMINGTON PD,190017,MONROE,BLOOMINGTON,BLOOMINGTON,1/4/2019,12:20 AM,2,0,0,0,0,,WALNUT,ST,,,,WALNUT,SIXTH,,,,Y,,,,39.16733,-86.5336,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,1222,1222,Y,N,SIXTHSTWALNUTST,0,TRAFFIC CONTROL SIGNAL,"D1 was driving V1 northbound on Walnut Street in the center lane. D2 was driving V2 northbound on Walnut Street in the center lane and coming to a stop at the 6th Street stoplight.V1 was south of V2 when V2 and V1 approached the stop light at 6th Street. While attempting to move into the left lane, V1 struck V2's driver-side rear bumper.D1 stated that he was too close to V2 and attempted to change lanes to avoid striking V2 at the last minute.V1 sustained damage to the passenger-side front bumper. V2 sustained damage to the driver-side rear bumper.V1 was towed to Ken's Westside. V1's license plate had expired in April and D1 stated his insurance coverage had lapsed."
903291100,BLOOMINGTON PD,B1900472,MONROE,BLOOMINGTON,BLOOMINGTON,1/4/2019,1:20 PM,1,0,0,0,0,,BLOOMFIELD,RD,,,,W BLOOMFIELD,ALLEN,,,,Y,,,,39.156255,-86.5609,,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,$2501 TO $5000,RAN OFF ROAD,123,125,N,Y,WALLENSTWBLOOMFIELDRD,1,LANE CONTROL,"WITNESS LYON AND KIEFER ADVISED THEY OBSERVED VEHICLE 1 LOSE CONTROL AS IT TRAVELLED EAST BOUND ON BLOOMFIELD RD IN THE 2200 BLOCK. V1 EXITED THE ROADWAY ON THE SOUTH SIDE, CORRECTED BACK ONTO THE ROAD, THEN EXITED THE ROADWAY AGAIN ON THE SOUTH SIDE. V1 WENT UP THE EMBANKMENT AT 2215 W BLOOMFIELD RD, STRUCK A GAS METER (NO DAMAGE) AND STRUCK THE FENCE ON THE PROPERTY. V1 THEN FLED THE SCENE, EAST ON BLOOMFIELD ROAD. WITNESS BINGS GAVE THE DISPATCH CENTER THE LICENSE PLATE OF XTJ726 AND MAY POSSIBLY HAVE VIDEO OF THE INCIDENT, BUT COULD NOT BE REACHED AT THE NUMBER SHE PROVIDED AT THE TIME OF THIS REPORT.WU IS THE OWNER OF 2215 W BLOOMFIELD RD.UPDATE 10 JANUARY 2019: I SPOKE WITH BINGS WHO ADVISED SHE WAS TRAVELLING WEST BOUND ON BLOOMFIELD ROAD AND DID OBSERVE V1 EXIT THE ROADWAY AND COLLIDE WITH THE FENCE. SHE DID NOT SEE THE LICENSE PLATE AT THE TIME OF THE INCIDENT. THE VIDEO WAS NOT AVAILABLE AT THIS TIME AS HER HUSBAND IS CURRENTLY DRIVING THAT VEHICLE AND IS THE ONLY PERSON WITH ACCESS TO IT. ON 4 JANUARY, OFFICER MITCHELL INTERVIEWED JEREMY TAYLOR ABOUT THE INCIDENT. TAYLOR INITIALLY DENIED BEING INVOLVED IN THE COLLISION, BUT LATER ADMITTED TO DRIVING V1 AFTER BEING MIRANDIZED.TAYLOR COULD NOT BE REACHED AT THE TIME OF THIS REPORT AT THE TELEPHONE NUMBER HE PROVIDED.OWNER OF VEHICLE 1 ADVISED SHE WAS IN THE HOSPITAL AT THE TIME OF THE COLLISION AND DID NOT GIVE DRIVER 1 PERMISSION TO DRIVE."
